nameOrig,nameDest,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,origin_balance_change,destination_balance_change,amount_origin_ratio,amount_destination_ratio,ANOMALY_SCORE,STATUS
C2025002428,C73279773,TRANSFER,10000000.0,0.0,0.0,20170580.69,39801819.53,0.0,19631238.84,10000000.0,0.4957715227894352,-0.1755643525646743,Flagged for Review
C1715295970,C867612382,TRANSFER,10000000.0,0.0,0.0,10776340.83,33079395.52,0.0,22303054.689999998,10000000.0,0.927958685586721,-0.17447150939223566,Flagged for Review
C1044540907,C200123041,TRANSFER,10000000.0,0.0,0.0,12225914.58,39969422.49,0.0,27743507.910000004,10000000.0,0.8179346515657848,-0.17447150939223566,Flagged for Review
C181569435,C181164250,TRANSFER,10000000.0,0.0,0.0,23015565.09,38584180.25,0.0,15568615.16,10000000.0,0.43448855269933534,-0.17447150939223566,Flagged for Review
C928974811,C1891000814,TRANSFER,10000000.0,0.0,0.0,13112671.57,41138282.76,0.0,28025611.189999998,10000000.0,0.762621040570984,-0.17447150939223566,Flagged for Review
C215641142,C687100566,TRANSFER,10000000.0,0.0,0.0,10592827.61,37203856.29,0.0,26611028.68,10000000.0,0.9440349096708364,-0.17374376840367844,Flagged for Review
C1673717176,C1067791196,TRANSFER,10000000.0,201592.0,0.0,0.0,28034315.61,201592.0,28034315.61,49.60489699543139,10000000.0,-0.17272871857876493,Flagged for Review
C1996947534,C66108215,TRANSFER,10000000.0,0.0,0.0,16651747.51,32409900.32,0.0,15758152.81,10000000.0,0.6005375347816853,-0.1726533871298348,Flagged for Review
C1662896538,C2022794173,TRANSFER,10000000.0,0.0,0.0,20000000.0,33462473.61,0.0,13462473.61,10000000.0,0.49999997500000126,-0.1726533871298348,Flagged for Review
C649278707,C1062258222,TRANSFER,10000000.0,0.0,0.0,10000000.0,51127794.32,0.0,41127794.32,10000000.0,0.99999990000001,-0.17218270726805707,Flagged for Review
C1044632055,C1447521302,TRANSFER,10000000.0,0.0,0.0,10333289.54,38954860.53,0.0,28621570.990000002,10000000.0,0.9677459432007803,-0.1714570301113797,Flagged for Review
C952906129,C2065813371,TRANSFER,10000000.0,0.0,0.0,20000000.0,32749293.49,0.0,12749293.489999998,10000000.0,0.49999997500000126,-0.17120183871641803,Flagged for Review
C1417797790,C506614484,TRANSFER,10000000.0,77352.0,0.0,0.0,43236339.28,77352.0,43236339.28,129.27746823006217,10000000.0,-0.17055217386870503,Flagged for Review
C1814263362,C1346061232,TRANSFER,10000000.0,0.0,0.0,10602665.6,30501918.95,0.0,19899253.35,10000000.0,0.9431589596526595,-0.17047704601705804,Flagged for Review
C2021117256,C1693991768,TRANSFER,10000000.0,0.0,0.0,10006882.0,43673802.21,0.0,33666920.21,10000000.0,0.9993121734310274,-0.17036974109655356,Flagged for Review
C1383490667,C1830831137,TRANSFER,10000000.0,0.0,0.0,10057240.33,37426288.08,0.0,27369047.75,10000000.0,0.9943084462108657,-0.17036974109655356,Flagged for Review
C1762662289,C829521254,TRANSFER,10000000.0,0.0,0.0,10000000.0,32902015.33,0.0,22902015.33,10000000.0,0.99999990000001,-0.16964569870652657,Flagged for Review
C775087293,C295697211,TRANSFER,10000000.0,0.0,0.0,10000000.0,35109132.79,0.0,25109132.79,10000000.0,0.99999990000001,-0.16964569870652657,Flagged for Review
C672589479,C414346328,TRANSFER,10000000.0,0.0,0.0,10000000.0,34248011.82,0.0,24248011.82,10000000.0,0.99999990000001,-0.16964569870652657,Flagged for Review
C1443870395,C2065813371,TRANSFER,10000000.0,0.0,0.0,10000000.0,32749293.49,0.0,22749293.49,10000000.0,0.99999990000001,-0.16964569870652657,Flagged for Review
C178355948,C1120079326,TRANSFER,10000000.0,0.0,0.0,10000000.0,34728680.2,0.0,24728680.200000003,10000000.0,0.99999990000001,-0.16964569870652657,Flagged for Review
C1408129299,C402098544,TRANSFER,10000000.0,0.0,0.0,30000000.0,40664589.0,0.0,10664589.0,10000000.0,0.3333333222222226,-0.16939108219307808,Flagged for Review
C444867826,C1180814325,TRANSFER,10000000.0,258.0,0.0,0.0,50880890.87,258.0,50880890.87,38610.03861003861,10000000.0,-0.16879650174632277,Flagged for Review
C1902486418,C557285611,TRANSFER,10000000.0,0.0,0.0,20000000.0,31225074.62,0.0,11225074.620000001,10000000.0,0.49999997500000126,-0.16794541442205202,Flagged for Review
C238657648,C1621470011,TRANSFER,4712289.7,0.0,0.0,22737108.49,38888037.2,0.0,16150928.710000005,4712289.7,0.2072510449084353,-0.16794541442205202,Flagged for Review
C565902925,C875815960,TRANSFER,10000000.0,0.0,0.0,21135562.8,32540042.29,0.0,11404479.489999998,10000000.0,0.47313618385708733,-0.16794541442205202,Flagged for Review
C1918632335,C2035186989,TRANSFER,10000000.0,1164.0,0.0,0.0,44267165.01,1164.0,44267165.01,8583.690987124464,10000000.0,-0.16771281045094522,Flagged for Review
C1409505370,C206918977,TRANSFER,10000000.0,105811.0,0.0,0.0,21305352.39,105811.0,21305352.39,94.5072392545269,10000000.0,-0.1676592620894024,Flagged for Review
C1440084225,C439737079,TRANSFER,53957543.97,0.0,0.0,92455112.62,146412656.59,0.0,53957543.97,53957543.97,0.5836080002212861,-0.1675844048450975,Flagged for Review
C1495660404,C735186749,TRANSFER,41708576.34,0.0,0.0,153439348.79,195147925.13,0.0,41708576.34,41708576.34,0.2718245117506243,-0.16722355806751732,Flagged for Review
C1893435637,C1960080758,TRANSFER,26515441.12,0.0,0.0,158945384.01,185460825.13,0.0,26515441.120000005,26515441.12,0.16682108208635182,-0.16722355806751732,Flagged for Review
C1275690114,C707403537,TRANSFER,48464778.69,0.0,0.0,262940122.72,311404901.41,0.0,48464778.69000003,48464778.69,0.18431868824101275,-0.16722355806751732,Flagged for Review
C1074377018,C1773865133,TRANSFER,10000000.0,0.0,0.0,10000000.0,30340022.05,0.0,20340022.05,10000000.0,0.99999990000001,-0.16711668787027678,Flagged for Review
C1500794639,C2022794173,TRANSFER,10000000.0,7929.0,0.0,0.0,33462473.61,7929.0,33462473.61,1261.034047919294,10000000.0,-0.16699116383734258,Flagged for Review
C1408116717,C926435744,TRANSFER,53670510.99,0.0,0.0,79131007.93,132801518.92,0.0,53670510.989999995,53670510.99,0.6782487891374848,-0.16686287401589595,Flagged for Review
C292509222,C5428896,TRANSFER,10000000.0,0.0,0.0,10715707.38,26609126.7,0.0,15893419.319999998,10000000.0,0.933209419795726,-0.16686287401589595,Flagged for Review
C1475793899,C112931567,TRANSFER,44528076.23,0.0,0.0,77836684.77,122364761.0,0.0,44528076.230000004,44528076.23,0.5720705575976889,-0.16686287401589595,Flagged for Review
C1185186163,C483714115,TRANSFER,10000000.0,0.0,0.0,20042769.02,30908923.8,0.0,10866154.780000001,10000000.0,0.4989330312138162,-0.1665023526168513,Flagged for Review
C134893940,C700613074,TRANSFER,10000000.0,153.0,0.0,0.0,29518009.22,153.0,29518009.22,64935.06493506493,10000000.0,-0.16590991382370124,Flagged for Review
C812415403,C471948321,TRANSFER,43458810.55,0.0,0.0,100497539.89,143956350.44,0.0,43458810.55,43458810.55,0.43243655680657916,-0.1657817974831285,Flagged for Review
C1159674484,C255260104,TRANSFER,31925168.1,0.0,0.0,34527072.51,66452240.61,0.0,31925168.1,31925168.1,0.924641588600134,-0.1657817974831285,Flagged for Review
C320268178,C767893578,TRANSFER,28389755.25,0.0,0.0,30388318.09,58778073.34,0.0,28389755.250000004,28389755.25,0.9342324978857526,-0.1657817974831285,Flagged for Review
C272285295,C327228204,TRANSFER,10000000.0,1357.0,0.0,0.0,23017037.35,1357.0,23017037.35,7363.7702503681885,10000000.0,-0.16554982216761316,Flagged for Review
C1696224835,C153954391,TRANSFER,27484575.99,0.0,0.0,38947405.64,66431981.63,0.0,27484575.990000002,27484575.99,0.7056843667165409,-0.16542176360185135,Flagged for Review
C269790788,C190846093,TRANSFER,19602560.22,0.0,0.0,33133144.52,52735704.74,0.0,19602560.220000003,19602560.22,0.5916299195972021,-0.16542176360185135,Flagged for Review
C419316563,C172409641,TRANSFER,26901118.7,0.0,0.0,41286707.29,68187825.99,0.0,26901118.699999996,26901118.7,0.6515685026533269,-0.16542176360185135,Flagged for Review
C621718350,C463981805,TRANSFER,28976537.92,0.0,0.0,45784920.08,74761458.0,0.0,28976537.92,28976537.92,0.6328838673625601,-0.16542176360185135,Flagged for Review
C1634248278,C1487890981,TRANSFER,24072184.13,0.0,0.0,47070380.59,71142564.72,0.0,24072184.129999995,24072184.13,0.5114083063884505,-0.16542176360185135,Flagged for Review
C1697395210,C1799942601,TRANSFER,43886668.1,0.0,0.0,51027654.94,94914323.04,0.0,43886668.10000001,43886668.1,0.8600565182065858,-0.16542176360185135,Flagged for Review
C1633788245,C1080881110,TRANSFER,33069661.46,0.0,0.0,70736569.52,103806230.98,0.0,33069661.46000001,33069661.46,0.4675044494933482,-0.1650618920799527,Flagged for Review
C854457276,C1728379064,TRANSFER,10000000.0,101104.0,0.0,0.0,17572808.81,101104.0,17572808.81,98.90707680134514,10000000.0,-0.16477677045589478,Flagged for Review
C300728122,C672506150,TRANSFER,10000000.0,32245.0,0.0,0.0,17519879.44,32245.0,17519879.44,310.11598337778327,10000000.0,-0.1644705212190618,Flagged for Review
C593192810,C2060657315,TRANSFER,10000000.0,30495.0,0.0,0.0,17623527.77,30495.0,17623527.77,327.9118572927597,10000000.0,-0.1644705212190618,Flagged for Review
C1889129688,C2042008185,TRANSFER,19687174.16,0.0,0.0,83430124.0,103117298.16,0.0,19687174.159999996,19687174.16,0.235972008432206,-0.16434263582145658,Flagged for Review
C1028613912,C497412825,TRANSFER,16655351.15,0.0,0.0,29003469.5,45658820.65,0.0,16655351.149999999,16655351.15,0.5742537311181433,-0.16434263582145658,Flagged for Review
C50633307,C1807958316,TRANSFER,17879364.61,0.0,0.0,30218422.13,48097786.74,0.0,17879364.610000003,17879364.61,0.5916709992802328,-0.16434263582145658,Flagged for Review
C1385331403,C198502413,TRANSFER,18473521.39,0.0,0.0,47515932.39,65989453.78,0.0,18473521.39,18473521.39,0.3887858255539995,-0.16362402812230092,Flagged for Review
C949619548,C2144772289,TRANSFER,10000000.0,0.0,0.0,10053145.19,26359576.14,0.0,16306430.950000001,10000000.0,0.9947134768563433,-0.16351763888562687,Flagged for Review
C1833977627,C217204867,TRANSFER,10000000.0,0.0,0.0,10387706.49,24978173.78,0.0,14590467.290000001,10000000.0,0.9626763181025999,-0.1631586260398743,Flagged for Review
C254616274,C1768641212,TRANSFER,25558261.26,0.0,0.0,27123255.52,52681516.78,0.0,25558261.26,25558261.26,0.9423006135400441,-0.1631475823480646,Flagged for Review
C573837343,C1939579059,TRANSFER,23952715.38,0.0,0.0,26266425.33,50219140.71,0.0,23952715.380000003,23952715.38,0.9119137517631238,-0.1631475823480646,Flagged for Review
C1463049424,C2098154505,TRANSFER,14256676.95,0.0,0.0,83065947.59,97322624.54,0.0,14256676.950000003,14256676.95,0.17163082095611326,-0.1629060683976744,Flagged for Review
C2120715360,C190688669,TRANSFER,16792413.19,0.0,0.0,28094052.32,44886465.52,0.0,16792413.200000003,16792413.19,0.5977212685805496,-0.1629060683976744,Flagged for Review
C1337073142,C1834107582,TRANSFER,15642925.24,0.0,0.0,33115055.03,48757980.28,0.0,15642925.25,15642925.24,0.4723810591118604,-0.1629060683976744,Flagged for Review
C1008665317,C1713360915,TRANSFER,20733281.87,0.0,0.0,26500693.97,47233975.84,0.0,20733281.870000005,20733281.87,0.7823674772858231,-0.16278873638146596,Flagged for Review
C1135686392,C592083555,TRANSFER,17249625.92,0.0,0.0,41378918.17,58628544.09,0.0,17249625.92,17249625.92,0.41686990056777745,-0.1625473313432002,Flagged for Review
C948631322,C1628178987,TRANSFER,14990858.1,0.0,0.0,44002975.72,58993833.83,0.0,14990858.11,14990858.1,0.3406782726402788,-0.1625473313432002,Flagged for Review
C1583813909,C580792838,TRANSFER,16419838.01,0.0,0.0,49444233.29,65864071.3,0.0,16419838.009999998,16419838.01,0.33208802291677675,-0.1625473313432002,Flagged for Review
C452313985,C1423993131,TRANSFER,15354822.43,0.0,0.0,29616106.09,44970928.52,0.0,15354822.430000003,15354822.43,0.5184618756050021,-0.1625473313432002,Flagged for Review
C366543365,C1710065704,TRANSFER,10000000.0,94264.0,0.0,0.0,15919800.17,94264.0,15919800.17,106.08391237468838,10000000.0,-0.1622631085432359,Flagged for Review
C2111010869,C2020105856,TRANSFER,10000000.0,0.0,0.0,20000000.0,30556958.12,0.0,10556958.120000001,10000000.0,0.49999997500000126,-0.16218875606329297,Flagged for Review
C649761430,C1795525023,TRANSFER,13482227.01,0.0,0.0,37677361.07,51159588.08,0.0,13482227.009999998,13482227.01,0.3578336239397983,-0.16218875606329297,Flagged for Review
C1176721103,C47964729,TRANSFER,10000000.0,0.0,0.0,10000000.0,23943659.45,0.0,13943659.45,10000000.0,0.99999990000001,-0.16208255860423237,Flagged for Review
C1457410685,C347631601,TRANSFER,10000000.0,0.0,0.0,10062431.48,24643609.24,0.0,14581177.759999998,10000000.0,0.9937954883052293,-0.16208255860423237,Flagged for Review
C1207926266,C1318632519,TRANSFER,10000000.0,0.0,0.0,10443506.86,23961499.97,0.0,13517993.11,10000000.0,0.9575326733176798,-0.16208255860423237,Flagged for Review
C1977277368,C746843102,TRANSFER,10000000.0,0.0,0.0,10058382.8,25029794.77,0.0,14971411.969999999,10000000.0,0.9941955088251851,-0.16208255860423237,Flagged for Review
C754244377,C1725796980,TRANSFER,10000000.0,0.0,0.0,10000000.0,24478537.78,0.0,14478537.780000001,10000000.0,0.99999990000001,-0.16208255860423237,Flagged for Review
C1337095054,C100741938,TRANSFER,10000000.0,11078.0,0.0,0.0,17400784.38,11078.0,17400784.38,902.6085386767759,10000000.0,-0.16195782473367848,Flagged for Review
C2004954476,C1118521816,TRANSFER,10000000.0,9871.0,0.0,0.0,17350978.53,9871.0,17350978.53,1012.9659643435981,10000000.0,-0.16195782473367848,Flagged for Review
C1667943708,C1883840933,TRANSFER,12147741.41,0.0,0.0,89830154.95,101977896.36,0.0,12147741.409999996,12147741.41,0.13523010487437542,-0.1618303424849995,Flagged for Review
C1155959239,C1178497894,TRANSFER,14183076.01,0.0,0.0,54819654.99,69002731.0,0.0,14183076.009999998,14183076.01,0.2587224555474632,-0.16147209053539946,Flagged for Review
C920820268,C1723015419,TRANSFER,10000000.0,0.0,0.0,10083472.84,23451566.54,0.0,13368093.7,10000000.0,0.991721717998725,-0.1613659888354695,Flagged for Review
C87810734,C843286252,TRANSFER,10000000.0,0.0,0.0,31142172.6,41327689.17,0.0,10185516.57,10000000.0,0.3211079653091395,-0.1611140001416056,Flagged for Review
C213524422,C1670059528,TRANSFER,10000000.0,0.0,0.0,10000000.0,23186133.16,0.0,13186133.16,10000000.0,0.99999990000001,-0.16100794628885595,Flagged for Review
C2144190304,C1712998956,TRANSFER,21137131.93,0.0,0.0,21754128.98,42891260.92,0.0,21137131.94,21137131.93,0.9716376591218657,-0.16063905632620035,Flagged for Review
C435736627,C605301468,TRANSFER,14124818.58,0.0,0.0,30374003.48,44498822.06,0.0,14124818.580000002,14124818.58,0.4650298444941824,-0.1603983037300507,Flagged for Review
C2031260847,C483287972,TRANSFER,10958178.21,0.0,0.0,56300632.11,67258810.32,0.0,10958178.209999993,10958178.21,0.19463685583410664,-0.1603983037300507,Flagged for Review
C225873254,C177099137,TRANSFER,19374533.85,0.0,0.0,23537264.17,42911798.03,0.0,19374533.86,19374533.85,0.823142948429467,-0.1602813415940415,Flagged for Review
C747770450,C1595487508,TRANSFER,18049592.66,0.0,0.0,26862411.83,44912004.48,0.0,18049592.65,18049592.66,0.6719274539568604,-0.1602813415940415,Flagged for Review
C541227973,C8271807,TRANSFER,19548290.53,0.0,0.0,20024804.3,39573094.83,0.0,19548290.529999997,19548290.53,0.9762037751248448,-0.1602813415940415,Flagged for Review
C667907183,C877180140,TRANSFER,19739262.59,0.0,0.0,22097676.45,41836939.04,0.0,19739262.59,19739262.59,0.8932731792589361,-0.1602813415940415,Flagged for Review
C589903611,C925261249,TRANSFER,19781793.51,0.0,0.0,21594820.27,41376613.78,0.0,19781793.51,19781793.51,0.9160434005296123,-0.1602813415940415,Flagged for Review
C1718326538,C1005727931,TRANSFER,15378502.01,0.0,0.0,27124595.34,42503097.35,0.0,15378502.010000002,15378502.01,0.5669578200255717,-0.1599237881754274,Flagged for Review
C1867706604,C1002776725,TRANSFER,16944008.09,0.0,0.0,26715791.28,43659799.37,0.0,16944008.089999996,16944008.09,0.6342319146823371,-0.1599237881754274,Flagged for Review
C1851498352,C1918966287,TRANSFER,14452026.19,0.0,0.0,21810701.01,36262727.21,0.0,14452026.2,14452026.19,0.6626116932583775,-0.15885209507356468,Flagged for Review
C2001136456,C330690091,TRANSFER,16964304.22,0.0,0.0,25125684.74,42089988.96,0.0,16964304.220000003,16964304.22,0.6751777601433934,-0.15885209507356468,Flagged for Review
C171534619,C418757497,TRANSFER,17234739.13,0.0,0.0,21302691.26,38537430.39,0.0,17234739.13,17234739.13,0.8090404217293048,-0.15885209507356468,Flagged for Review
C1012279693,C1332133484,TRANSFER,9577087.13,0.0,0.0,33938132.93,43515220.06,0.0,9577087.130000003,9577087.13,0.28219250798389434,-0.1586118848319753,Flagged for Review
C1570343644,C2128684816,TRANSFER,10000000.0,500067.0,0.0,56425.13,30759565.57,500067.0,30703140.44,19.9972803698697,177.2228575661666,-0.15861085269130548,Flagged for Review
C595106415,C2056635572,TRANSFER,14833415.54,0.0,0.0,23295050.97,38128466.51,0.0,14833415.54,14833415.54,0.6367625004272528,-0.15849518618200475,Flagged for Review
C738044522,C1352040365,TRANSFER,12464745.56,0.0,0.0,23486908.23,35951653.8,0.0,12464745.569999997,12464745.56,0.5307103390206273,-0.15778185117674193,Flagged for Review
C902943739,C927081695,TRANSFER,10000000.0,29889.0,0.0,0.0,14602127.71,29889.0,14602127.71,334.5600535296086,10000000.0,-0.15766875985204742,Flagged for Review
C1040035686,C2060100728,TRANSFER,8156574.8,0.0,0.0,48637995.69,56794570.48,0.0,8156574.789999999,8156574.8,0.1676996454436002,-0.15754196576125445,Flagged for Review
C64088788,C449049752,TRANSFER,10000000.0,0.0,0.0,20075318.52,30231467.45,0.0,10156148.93,10000000.0,0.4981240766821927,-0.15718564768014875,Flagged for Review
C1324396591,C516266216,TRANSFER,14881053.0,0.0,0.0,20199137.91,35080190.91,0.0,14881052.999999996,14881053.0,0.7367171970203555,-0.1570691593915764,Flagged for Review
C1757506738,C1914562959,TRANSFER,17901982.98,0.0,0.0,18906238.17,36808221.16,0.0,17901982.989999995,17901982.98,0.9468822867959096,-0.1570691593915764,Flagged for Review
C1767466286,C169893424,TRANSFER,16766921.7,0.0,0.0,18114586.62,34881508.33,0.0,16766921.709999997,16766921.7,0.9256032790659795,-0.15635711024651133,Flagged for Review
C251005781,C1949855306,TRANSFER,16092688.37,0.0,0.0,16147415.05,32240103.42,0.0,16092688.370000001,16092688.37,0.9966107468940827,-0.15600132648291043,Flagged for Review
C1207793578,C1309566643,TRANSFER,15450012.64,0.0,0.0,18480655.14,33930667.78,0.0,15450012.64,15450012.64,0.8360099621441255,-0.1556457031620726,Flagged for Review
C1876602336,C1410936008,TRANSFER,11196139.9,0.0,0.0,19841446.16,31037586.05,0.0,11196139.89,11196139.9,0.5642804080627353,-0.1556457031620726,Flagged for Review
C1832733859,C71331186,TRANSFER,10000000.0,0.0,0.0,10503375.93,22724683.37,0.0,12221307.440000001,10000000.0,0.952074753352682,-0.15564226521712032,Flagged for Review
C368871468,C159502442,TRANSFER,10392575.36,0.0,0.0,19991449.51,30384024.87,0.0,10392575.36,10392575.36,0.5198509910424703,-0.1552902402116455,Flagged for Review
C63788320,C267622957,TRANSFER,8666411.0,0.0,0.0,26196832.47,34863243.46,0.0,8666410.990000002,8666411.0,0.33081902856406564,-0.15493493755930898,Flagged for Review
C1131676367,C2093427509,TRANSFER,10000000.0,0.0,0.0,10000000.0,22491044.36,0.0,12491044.36,10000000.0,0.99999990000001,-0.15457636183681034,Flagged for Review
C1755452506,C407612487,TRANSFER,10000000.0,18912.0,0.0,0.0,13048865.69,18912.0,13048865.69,528.7368476709141,10000000.0,-0.154467161973742,Flagged for Review
C563218010,C88027532,TRANSFER,7439888.87,0.0,0.0,57731125.09,65171013.97,0.0,7439888.879999995,7439888.87,0.1288713623635468,-0.15434088156247794,Flagged for Review
C227685057,C1818898400,TRANSFER,10725661.53,0.0,0.0,22093699.06,32819360.59,0.0,10725661.530000001,10725661.53,0.48546243955843765,-0.15422481285979106,Flagged for Review
C763990373,C260775925,TRANSFER,9533450.43,0.0,0.0,25170567.78,34704018.2,0.0,9533450.420000002,9533450.43,0.3787538737533447,-0.15386999066813267,Flagged for Review
C2081516112,C37889133,TRANSFER,7620887.77,0.0,0.0,34013665.0,41634552.76,0.0,7620887.759999998,7620887.77,0.22405370153278978,-0.15363129252818497,Flagged for Review
C266143311,C1346061232,TRANSFER,9899253.35,0.0,0.0,20602665.6,30501918.95,0.0,9899253.349999998,9899253.35,0.48048408209449933,-0.153515328485611,Flagged for Review
C519345235,C1988401357,TRANSFER,9662812.38,0.0,0.0,23766591.6,33429403.98,0.0,9662812.379999999,9662812.38,0.406571212904958,-0.153515328485611,Flagged for Review
C1657796291,C37889133,TRANSFER,2384752.06,0.0,0.0,41801949.15,77979801.2,0.0,36177852.050000004,2384752.06,0.05704882311573208,-0.15316907503095156,Flagged for Review
C1077209587,C357261742,TRANSFER,9848266.85,0.0,0.0,19943924.4,29792191.25,0.0,9848266.850000001,9848266.85,0.49379781825698166,-0.15280648385938222,Flagged for Review
C1185795890,C1658346936,TRANSFER,10000000.0,0.0,0.0,10000000.0,21414574.43,0.0,11414574.43,10000000.0,0.99999990000001,-0.15244887725461553,Flagged for Review
C1598987031,C1914138739,TRANSFER,11506304.11,0.0,0.0,15944315.16,27450619.27,0.0,11506304.11,11506304.11,0.7216555413562497,-0.15209827840423873,Flagged for Review
C1464026182,C1313582591,TRANSFER,12731933.46,0.0,0.0,15896787.23,28628720.69,0.0,12731933.46,12731933.46,0.8009123148519165,-0.15209827840423873,Flagged for Review
C1945637967,C1263196799,TRANSFER,10000000.0,0.0,0.0,10576302.98,21276280.7,0.0,10699977.719999999,10000000.0,0.9455098887957644,-0.1518458097156694,Flagged for Review
C1632653688,C95941909,TRANSFER,10000000.0,0.0,0.0,10000000.0,21301896.65,0.0,11301896.649999999,10000000.0,0.99999990000001,-0.15174099425631682,Flagged for Review
C278026796,C252499176,TRANSFER,10000000.0,391471.0,0.0,2261090.83,18038005.84,391471.0,15776915.01,25.544611108840478,4.422642135680088,-0.15145903195780908,Flagged for Review
C356264158,C609116570,TRANSFER,3215124.54,0.0,0.0,0.0,7311992.0,0.0,7311992.0,3215124.54,3215124.54,-0.15092504114396366,Flagged for Review
C477888892,C2024641285,TRANSFER,8411339.83,0.0,0.0,20497048.07,28908387.9,0.0,8411339.829999998,8411339.83,0.4103683316205282,-0.1506837827023434,Flagged for Review
C217746745,C937733035,TRANSFER,10000000.0,0.0,0.0,10174250.25,21115595.33,0.0,10941345.079999998,10000000.0,0.982873309718983,-0.1506803663989421,Flagged for Review
C447105342,C1841453745,TRANSFER,8667898.78,0.0,0.0,15803810.47,24569308.0,0.0,8765497.53,8667898.78,0.5484688802099459,-0.15033055735888656,Flagged for Review
C1367964333,C2107309191,TRANSFER,13702487.69,0.0,0.0,15314668.92,29017156.6,0.0,13702487.680000002,13702487.69,0.8947295476545275,-0.15032220036831845,Flagged for Review
C126360174,C580102695,TRANSFER,14058328.87,0.0,0.0,15191075.39,29249404.26,0.0,14058328.870000001,14058328.87,0.9254333602886977,-0.149969138082524,Flagged for Review
C2056387056,C2121530467,TRANSFER,10000000.0,295002.0,0.0,345734.58,19346069.61,295002.0,19000335.03,33.897960359725154,28.92383826969732,-0.1497389539966396,Flagged for Review
C1008919530,C885587073,TRANSFER,12876234.06,0.0,0.0,15372142.95,28248377.01,0.0,12876234.060000002,12876234.06,0.8376342364397389,-0.14961623501222643,Flagged for Review
C1699785789,C576011793,TRANSFER,13692161.89,0.0,0.0,14966974.94,28659136.83,0.0,13692161.889999999,13692161.89,0.9148248747702604,-0.14961623501222643,Flagged for Review
